Date : 2025-10-30 09:36:59
Directory : d:\FDU_files\Tao_group\kiwi\MyKiwi
Total : 442 files,  49118 codes, 1165 comments, 6753 blanks, all 57036 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\bbnet.hh                                        | C++      |         46 |          0 |         10 |         56 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\bbsnet.cc                                       | C++      |        173 |          0 |         33 |        206 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\bbsnet.hh                                       | C++      |         43 |          0 |          9 |         52 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\btnet.cc                                        | C++      |        157 |          1 |         32 |        190 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\btnet.hh                                        | C++      |         45 |          0 |         10 |         55 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\btsnet.cc                                       | C++      |        167 |          0 |         36 |        203 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\btsnet.hh                                       | C++      |         45 |          0 |         10 |         55 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\syncnet.cc                                      | C++      |        447 |          2 |         67 |        516 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\syncnet.hh                                      | C++      |         73 |          3 |         22 |         98 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tbnet.cc                                        | C++      |        155 |          1 |         33 |        189 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tbnet.hh                                        | C++      |         45 |          0 |         10 |         55 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tbsnet.cc                                       | C++      |        169 |          0 |         34 |        203 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tbsnet.hh                                       | C++      |         45 |          0 |         10 |         55 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tsbsnet.cc                                      | C++      |        195 |          0 |         34 |        229 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\tsbsnet.hh                                      | C++      |         44 |          0 |         10 |         54 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\path\pathpackage.cc                                       | C++      |        293 |         12 |         52 |        357 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\path\pathpackage.hh                                       | C++      |         84 |          6 |         27 |        117 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\topdie\topdie.cc                                          | C++      |         16 |          0 |          8 |         24 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\topdie\topdie.hh                                          | C++      |         21 |          0 |          7 |         28 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\topdieinst\topdieinst.cc                                  | C++      |         60 |          1 |         17 |         78 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\topdieinst\topdieinst.hh                                  | C++      |         42 |          2 |         18 |         62 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\console.cc                                           | C++      |         54 |          0 |         12 |         66 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\console.hh                                           | C++      |         59 |          0 |         14 |         73 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\debug.cc                                             | C++      |         88 |          0 |         19 |        107 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\debug.hh                                             | C++      |         85 |          0 |         17 |        102 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\exception.hh                                         | C++      |          8 |          0 |          4 |         12 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\log.cc                                               | C++      |         55 |          0 |         16 |         71 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\debug\log.hh                                               | C++      |         47 |          0 |         13 |         60 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\algorithm.hh                                           | C++      |          4 |          0 |          1 |          5 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\collection.hh                                          | C++      |         43 |          0 |         17 |         60 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\exception.hh                                           | C++      |          8 |          0 |          7 |         15 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\file.hh                                                | C++      |          9 |          0 |          7 |         16 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\format.hh                                              | C++      |        165 |          0 |         16 |        181 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\integer.hh                                             | C++      |         13 |          0 |          6 |         19 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\math.hh                                                | C++      |          2 |          0 |          1 |          3 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\memory.hh                                              | C++      |         10 |          0 |          6 |         16 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\range.hh                                               | C++      |          4 |          0 |          2 |          6 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\string.hh                                              | C++      |         10 |          0 |          6 |         16 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\std\utility.hh                                             | C++      |         23 |          0 |          9 |         32 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\utility\file.cc                                            | C++      |         42 |          0 |         10 |         52 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\utility\file.hh                                            | C++      |          7 |          0 |          5 |         12 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\utility\random.cc                                          | C++      |         20 |          0 |          7 |         27 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\utility\random.hh                                          | C++      |          6 |          1 |          4 |         11 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\utility\stirng.cc                                          | C++      |         25 |          1 |          7 |         33 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\global\utility\string.hh                                          | C++      |          9 |          0 |          5 |         14 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\bump\bump.cc                                             | C++      |         50 |          0 |         14 |         64 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\bump\bump.hh                                             | C++      |         36 |          0 |         12 |         48 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\bump\bumpcoord.cc                                        | C++      |         41 |          0 |         11 |         52 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\bump\bumpcoord.hh                                        | C++      |         27 |          0 |         11 |         38 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cob.cc                                               | C++      |        170 |          0 |         38 |        208 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cob.hh                                               | C++      |         63 |          0 |         21 |         84 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobconnector.cc                                      | C++      |         43 |          0 |          8 |         51 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobconnector.hh                                      | C++      |         39 |          0 |         11 |         50 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobcoord.hh                                          | C++      |          5 |          0 |          5 |         10 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobdirection.hh                                      | C++      |         16 |          0 |          7 |         23 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobregister.hh                                       | C++      |         64 |          1 |         26 |         91 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobunit.cc                                           | C++      |        223 |          1 |         39 |        263 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\cob\cobunit.hh                                           | C++      |         73 |          0 |         22 |         95 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\coord.cc                                                 | C++      |         21 |          0 |          9 |         30 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\coord.hh                                                 | C++      |         22 |          0 |         10 |         32 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\interposer.cc                                            | C++      |        211 |          6 |         42 |        259 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\interposer.hh                                            | C++      |         69 |          4 |         26 |         99 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tob.cc                                               | C++      |        381 |          0 |         86 |        467 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tob.hh                                               | C++      |        118 |          0 |         33 |        151 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobconnector.cc                                      | C++      |         99 |          0 |         20 |        119 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobconnector.hh                                      | C++      |         48 |          0 |         13 |         61 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobcoord.hh                                          | C++      |          5 |          0 |          6 |         11 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobmux.cc                                            | C++      |        152 |          4 |         32 |        188 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobmux.hh                                            | C++      |         45 |          0 |         14 |         59 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobregister.hh                                       | C++      |        119 |          5 |         37 |        161 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\tob\tobsigdir.hh                                         | C++      |          8 |          0 |          3 |         11 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\track\track.cc                                           | C++      |         69 |          0 |         17 |         86 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\track\track.hh                                           | C++      |         42 |          1 |         15 |         58 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\track\trackcoord.cc                                      | C++      |         46 |          0 |         11 |         57 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\hardware\track\trackcoord.hh                                      | C++      |         44 |          0 |         16 |         60 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\comparator\controlbits_parser.cc                            | C++      |         73 |          0 |         17 |         90 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\comparator\controlbits_parser.hh                            | C++      |         16 |          2 |         10 |         28 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\config\config.cc                                     | C++      |        263 |         33 |         48 |        344 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\config\config.hh                                     | C++      |         19 |          0 |          7 |         26 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\config\connection.hh                                 | C++      |         13 |          0 |          7 |         20 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\config\externalport.hh                               | C++      |         11 |          0 |          5 |         16 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\config\interposer.hh                                 | C++      |          7 |          0 |          6 |         13 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\config\topdie.hh                                     | C++      |         22 |          0 |         10 |         32 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\controlbits\controlbits.cc                           | C++      |        449 |          8 |         52 |        509 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\controlbits\controlbits.hh                           | C++      |         38 |          0 |         16 |         54 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\module.cc                                            | C++      |         73 |          1 |         14 |         88 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\module.hh                                            | C++      |         24 |          3 |          7 |         34 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\reader.cc                                            | C++      |        138 |         34 |         22 |        194 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\reader.hh                                            | C++      |         45 |         23 |         14 |         82 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\module.cc                                            | C++      |         49 |          3 |          7 |         59 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\module.hh                                            | C++      |         13 |          0 |          6 |         19 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\registers\baseregister.hh                            | C++      |         19 |          0 |         13 |         32 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\registers\cobregister.cc                             | C++      |        129 |          0 |         21 |        150 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\registers\cobregister.hh                             | C++      |         38 |          0 |         16 |         54 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\registers\registervalues.hh                          | C++      |         55 |          0 |         13 |         68 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\registers\tobregister.cc                             | C++      |        215 |          0 |         24 |        239 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\registers\tobregister.hh                             | C++      |         36 |          0 |         14 |         50 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\writer.cc                                            | C++      |        204 |          2 |         32 |        238 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\writer.hh                                            | C++      |         46 |          0 |         22 |         68 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\de.hh                                                       | C++      |         63 |          9 |         18 |         90 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\json\json.cc                                                | C++      |        280 |          7 |         72 |        359 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\json\json.hh                                                | C++      |        188 |          0 |         32 |        220 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\json\jsonerror.cc                                           | C++      |         32 |          0 |          8 |         40 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\json\jsonerror.hh                                           | C++      |         28 |          0 |          9 |         37 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\json\jsonparser.cc                                          | C++      |         92 |          6 |         19 |        117 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\json\jsonparser.hh                                          | C++      |         26 |          0 |         11 |         37 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\json\jsonscanner.cc                                         | C++      |        108 |          5 |         17 |        130 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\json\jsonscanner.hh                                         | C++      |         45 |          0 |         19 |         64 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\json\jsontoken.hh                                           | C++      |         46 |          5 |         17 |         68 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\json\jsontype.cc                                            | C++      |         16 |          0 |          3 |         19 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\json\jsontype.hh                                            | C++      |         15 |          0 |          5 |         20 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\ser.hh                                                      | C++      |         21 |          0 |          6 |         27 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\serde\serde.hh                                                    | C++      |          2 |          0 |          0 |          2 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\GUI-TODO.md                                                | Markdown |         20 |          0 |          6 |         26 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\frame\colorpickbutton.h                                    | C++      |         45 |          0 |         14 |         59 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\frame\entrydialog.cc                                       | C++      |         55 |          0 |         12 |         67 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\frame\entrydialog.h                                        | C++      |         20 |          0 |          7 |         27 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\frame\graphicsview.cc                                      | C++      |         75 |          0 |         15 |         90 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\frame\graphicsview.h                                       | C++      |         23 |          0 |          8 |         31 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\frame\itemtypecheck.h                                      | C++      |         13 |          0 |          3 |         16 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\frame\lineeditwithbutton.h                                 | C++      |         36 |          4 |         11 |         51 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\frame\msgexception.h                                       | C++      |         12 |          0 |          4 |         16 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\item\exportitem.cc                                  | C++      |         19 |          0 |          6 |         25 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\item\exportitem.h                                   | C++      |         28 |          0 |         10 |         38 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\item\netitem.cc                                     | C++      |         47 |          0 |         10 |         57 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\item\netitem.h                                      | C++      |         35 |          0 |         14 |         49 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\item\pinitem.cc                                     | C++      |         61 |          0 |         13 |         74 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\item\pinitem.h                                      | C++      |         41 |          0 |         14 |         55 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\item\sourceportitem.cc                              | C++      |         20 |          0 |          6 |         26 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\item\sourceportitem.h                               | C++      |         33 |          0 |         12 |         45 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\item\tobitem.cc                                     | C++      |         47 |          2 |         13 |         62 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\item\tobitem.h                                      | C++      |         39 |          0 |         17 |         56 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\item\topdieinstitem.cc                              | C++      |        113 |         37 |         30 |        180 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\item\topdieinstitem.h                               | C++      |         61 |          0 |         23 |         84 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\layoutinfowidget.cc                                 | C++      |         80 |          7 |         16 |        103 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\layoutinfowidget.h                                  | C++      |         31 |          0 |         11 |         42 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\layoutscene.cc                                      | C++      |        258 |         10 |         51 |        319 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\layoutscene.h                                       | C++      |         78 |          1 |         23 |        102 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\layoutview.cc                                       | C++      |         13 |          0 |          4 |         17 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\layoutview.h                                        | C++      |         22 |          0 |          8 |         30 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\layoutwidget.cc                                     | C++      |         43 |          3 |         12 |         58 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\layout\layoutwidget.h                                      | C++      |         32 |          0 |         12 |         44 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\prthread.h                                                 | C++      |         33 |          0 |          8 |         41 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\info\exportwidget.cc                             | C++      |        112 |          3 |         22 |        137 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\info\exportwidget.h                              | C++      |         35 |          0 |         12 |         47 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\info\netinfowidget.cc                            | C++      |        100 |          5 |         21 |        126 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\info\netinfowidget.h                             | C++      |         31 |          0 |         13 |         44 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\info\tpdinfowidget.cc                            | C++      |         86 |          6 |         20 |        112 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\info\tpdinfowidget.h                             | C++      |         29 |          0 |         13 |         42 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\info\viewinfowidget.cc                           | C++      |         90 |          5 |         16 |        111 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\info\viewinfowidget.h                            | C++      |         16 |          0 |          7 |         23 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\item\exportitem.cc                               | C++      |         27 |          0 |          7 |         34 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\item\exportitem.h                                | C++      |         44 |          0 |         17 |         61 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\item\griditem.h                                  | C++      |         44 |          0 |         12 |         56 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\item\netitem.cc                                  | C++      |        343 |         16 |         62 |        421 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\item\netitem.h                                   | C++      |         83 |          0 |         30 |        113 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\item\netpointitem.cc                             | C++      |         89 |          0 |         20 |        109 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\item\netpointitem.h                              | C++      |         43 |          0 |         15 |         58 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\item\pinitem.cc                                  | C++      |        168 |          0 |         24 |        192 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\item\pinitem.h                                   | C++      |         77 |          0 |         24 |        101 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\item\sourceportitem.cc                           | C++      |         27 |          0 |          7 |         34 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\item\sourceportitem.h                            | C++      |         47 |          0 |         19 |         66 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\item\topdieinstitem.cc                           | C++      |         75 |         22 |         24 |        121 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\item\topdieinstitem.h                            | C++      |         51 |          0 |         22 |         73 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\schematicinfowidget.cc                           | C++      |        128 |          0 |         30 |        158 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\schematicinfowidget.h                            | C++      |         63 |          0 |         19 |         82 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\schematiclibwidget.cc                            | C++      |        143 |          1 |         26 |        170 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\schematiclibwidget.h                             | C++      |         33 |          0 |         15 |         48 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\schematicscene.cc                                | C++      |        341 |          6 |         88 |        435 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\schematicscene.h                                 | C++      |         88 |          4 |         24 |        116 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\schematicview.cc                                 | C++      |         51 |          1 |         11 |         63 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\schematicview.h                                  | C++      |         43 |          0 |         13 |         56 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\schematicwidget.cc                               | C++      |         78 |          0 |         24 |        102 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\schematic\schematicwidget.h                                | C++      |         42 |          1 |         14 |         57 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\setting\settingwidget.cc                                   | C++      |          8 |          0 |          3 |         11 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\setting\settingwidget.h                                    | C++      |          8 |          0 |          4 |         12 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\detail\cob.cc                                       | C++      |        235 |         90 |         56 |        381 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\detail\cob.h                                        | C++      |         36 |          0 |         14 |         50 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\detail\highlightpathitem.h                          | C++      |         24 |          0 |          6 |         30 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\item\bumpitem.cc                                    | C++      |         23 |          0 |          7 |         30 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\item\bumpitem.h                                     | C++      |         24 |          0 |          9 |         33 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\item\cobitem.cc                                     | C++      |         53 |         29 |         17 |         99 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\item\cobitem.h                                      | C++      |         26 |          0 |         12 |         38 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\item\netitem.cc                                     | C++      |         21 |          0 |          6 |         27 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\item\netitem.h                                      | C++      |         19 |          0 |          7 |         26 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\item\tobitem.cc                                     | C++      |         31 |         17 |          9 |         57 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\item\tobitem.h                                      | C++      |         31 |          0 |         13 |         44 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\view2dscene.cc                                      | C++      |        184 |         72 |         47 |        303 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\view2dscene.hh                                      | C++      |         49 |          0 |         16 |         65 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\view2dview.cc                                       | C++      |         11 |          0 |          4 |         15 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\view2dview.h                                        | C++      |          9 |          0 |          6 |         15 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\view2dwidget.cc                                     | C++      |         26 |          0 |          5 |         31 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view2d\view2dwidget.h                                      | C++      |         27 |          0 |         10 |         37 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view3d\dialog\cobinfo.cc                                   | C++      |        252 |         13 |         68 |        333 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view3d\dialog\cobinfo.h                                    | C++      |         31 |          0 |         12 |         43 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view3d\dialog\tobinfo.cc                                   | C++      |        120 |          9 |         31 |        160 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view3d\dialog\tobinfo.h                                    | C++      |         25 |          0 |          9 |         34 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view3d\dialog\topdieinstinfo.cc                            | C++      |        130 |         12 |         29 |        171 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view3d\dialog\topdieinstinfo.h                             | C++      |         21 |          0 |          8 |         29 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view3d\view3dutil.cc                                       | C++      |         45 |          8 |         14 |         67 |
| d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\view3d\view3dutil.hh                                       | C++      |         20 |          0 |          8 |         28 |
